virus,realm,locus_tag,host,type,shape,corr,p.value
Lactococcus phage vB Llc bIBBAm4,NA,KMC90,NA,NA,NA,-0.524079485680888,2.71365778447507e-05
Salmonella phage 100268 sal2,NA,BOW73,NA,NA,NA,-0.511922852133256,4.39199971942619e-05
Wenzhou picorna-like virus 1,Riboviria,BWT01,invertebrates,RNA,linear,-0.468848626534191,0.000212880609410844
bat polyomavirus 4b,Monodnaviria,AR674,vertebrates,DNA,circular,-0.411483253588517,0.00177170222286568
Simian virus 12,Monodnaviria,BPV1,vertebrates,DNA,circular,-0.473957621326042,0.000264775960635869
Sanxia tombus-like virus 1,Riboviria,BWU20,invertebrates,RNA,linear,-0.49760374050263,7.5841526422298e-05
Gata virus,Riboviria,BLX32,invertebrates,RNA,linear,-0.456224430157803,0.000326309101707331
Alternaria brassicicola fusarivirus 1,unclassified viruses,AXH27,fungi,RNA,linear,-0.350555230859147,0.00675380091094708
Sinorhizobium phage ort11,Duplodnaviria,HYP99,bacteria,DNA,linear,-0.317358270017534,0.0146544517360257
Tomato leaf curl Bangladesh virus,Monodnaviria,ToLCBDVgp,land plants,DNA,circular,-0.488427819988311,0.000106399969902828
Cotesia congregata bracovirus,Polydnaviridae,CcBV_1,invertebrates,DNA,circular,-0.470485096434834,0.000201186670618941
Cactus virus X,Riboviria,CVXgORF,land plants,RNA,linear,0.0257744009351257,0.846048190446125
Torque teno mini virus 10,Anelloviridae,D1P73,human,DNA,linear,-0.434495062905657,0.000733642092316335
Mycobacterium phage Pops,Duplodnaviria,AU153,bacteria,DNA,linear,0.493103448275862,8.96393847976055e-05
Faecalibacterium phage FP Lagaffe,NA,HOS64,NA,NA,NA,0.323085914669784,0.0128912379873011
Shigella phage Ag3,Duplodnaviria,phiSboM,bacteria,DNA,linear,-0.0329631794272355,0.803826116815626
Mycobacterium phage KristaRAM,Duplodnaviria,I5H56,bacteria,DNA,linear,0.426125073056692,0.000850952848820138
Mycobacterium phage Luchador,Duplodnaviria,AVT52,bacteria,DNA,linear,0.500759789596727,6.73661620954304e-05
Escherichia phage HK97,Duplodnaviria,HK97p,bacteria,DNA,linear,-0.237346580946815,0.0704446848875195
Escherichia phage vB EcoS Sa179lw,NA,KGB37,NA,NA,NA,-0.408474576271186,0.00143845353596219
Lake Sarah-associated circular virus-28,unclassified viruses,A0R89,invertebrates,DNA,circular,-0.492343658679135,9.21856345501464e-05
His 1 virus,Halspiviridae,His1V,archaea,DNA,linear,-0.563530099357101,5.05881988399499e-06
Chapare mammarenavirus,Riboviria,CV,human,RNA,linear,-0.445996493278784,0.000456144580264484
Wenzhou shrimp virus 3,Riboviria,BWS50,invertebrates,RNA,linear,-0.146464056107539,0.267553090761717
Giant panda anellovirus,NA,CGU83,NA,DNA,linear,-0.323670368205728,0.0127221052774775
Human pegivirus 2,Riboviria,APL51,human,RNA,linear,-0.323144360023378,0.0128742375455419
Salmonella phage NR01,Duplodnaviria,BI021,bacteria,DNA,linear,-0.559964932787843,5.93260437730721e-06
Temperate fruit decay-associated virus,unclassified viruses,AFL70,land plants,DNA,circular,-0.367679719462303,0.00439143186750792
Wenzhou picorna-like virus 3,Riboviria,BVF74,invertebrates,RNA,linear,-0.550496785505552,8.99155643789836e-06
Pipistrellus bat coronavirus HKU5,Riboviria,BatCoVHKU5_gp1,vertebrates,RNA,linear,-0.548100526008182,9.97261777106836e-06
Rosellinia necatrix partitivirus 6,Riboviria,ASN24,fungi,RNA,linear,-0.0108892921960073,0.935904234262744
Souris virus,Riboviria,D1U11,vertebrates,RNA,linear,-0.463880771478668,0.000252305739714473
Mycobacterium phage Piro94,Duplodnaviria,AVV38,bacteria,DNA,linear,0.502476237349657,7.32742360249038e-05
Mycobacterium phage Eremos,Duplodnaviria,AU108,bacteria,DNA,linear,0.496727060198714,7.8364839619493e-05
Hubei sobemo-like virus 30,Riboviria,BVB23,invertebrates,RNA,linear,-0.363530099357101,0.0048839592831288
Croceibacter phage P2559Y,Duplodnaviria,P2559Y,bacteria,DNA,circular,-0.490181180596143,9.98025067403611e-05
Influenza A virus (A/New York/392/2004(H3N2)),Riboviria,FLUAVH3N2,human:vertebrates,RNA,linear,-0.438106370543542,0.000586767560190407
Beihai rhabdo-like virus 5,Riboviria,BVJ75,invertebrates,RNA,linear,-0.130333138515488,0.324259119431167
Pestivirus giraffe-1 H138,Riboviria,PGV1gp1,vertebrates,RNA,linear,-0.277966101694915,0.0333729916690689
Brassica campestris chrysovirus 1,NA,FLB24,NA,RNA,linear,-0.415371127995324,0.00117538645989891
Mycobacterium phage Giles,Duplodnaviria,Gile,bacteria,DNA,linear,0.444360023378142,0.000480825775480442
Kalanchoe top-spotting virus,Riboviria,KTSVgp,land plants,DNA,linear,-0.11437755698422,0.387368289811976
Arthrobacter phage Oxynfrius,Duplodnaviria,KDJ05,bacteria,DNA,linear,0.495908825248393,8.07896829785436e-05
livupivirus A1,Riboviria,BU139,vertebrates,RNA,linear,-0.460432495616599,0.00028348949964717
Staphylococcus phage 52A,Duplodnaviria,ST52AORF0,bacteria,DNA,linear,-0.541437755698422,1.32530772143992e-05
Salmonella phage SSU5,Duplodnaviria,SSU5,bacteria,DNA,linear,0.0169491525423729,0.898468305576355
Escherichia phage CAjan,Duplodnaviria,AVU36,bacteria,DNA,linear,-0.451841028638223,0.00037713234140263
Synedrella leaf curl virus,Monodnaviria,BJK16,land plants,DNA,circular,-0.460023378141438,0.000287414484526396
Faba bean yellow leaf virus,Monodnaviria,D1T30,land plants,DNA,linear,-0.445999569350026,0.000512227226260942
Leptospira phage LE1,Duplodnaviria,HWD53,bacteria,DNA,linear,-0.488836937463472,0.000104825566937872
Gairo mammarenavirus,Riboviria,TI00,vertebrates,RNA,linear,-0.426008182349503,0.000853991408326511
Snakehead virus,Riboviria,SHRVgp,vertebrates,RNA,linear,-0.190005844535359,0.149177034691159
Culex Iflavi-like virus 1,NA,EXK00,NA,RNA,linear,-0.514962010520164,3.89993276143207e-05
Miniopterus associated gemycircularvirus 1,Monodnaviria,D1R02,vertebrates,DNA,circular,-0.13874926943308,0.293781097152521
Vibrio phage VP4,Duplodnaviria,VVP4,bacteria,DNA,linear,-0.380537697253068,0.00313298598598678
Mycobacterium phage Demsculpinboyz,Duplodnaviria,I5I02,bacteria,DNA,linear,0.399298655756867,0.00187044566015252
Mycobacterium phage Gadjet,Duplodnaviria,CM02,bacteria,DNA,linear,0.507422559906487,5.22716526683158e-05
Grapevine geminivirus A,Monodnaviria,BKK70,land plants,DNA,circular,-0.399532437171245,0.00185813188116767
Rose leaf curl betasatellite,Tolecusatellitidae,JM61,land plants,DNA,circular,-0.233121916842847,0.127602088854312
Mycobacterium phage Kratio,Duplodnaviria,PBI,bacteria,DNA,linear,0.437931034482759,0.000590022526350426
Stx2-converting phage Stx2a F451,NA,H3H29,NA,NA,NA,-0.326066627703098,0.0120486020419632
Staphylococcus phage StB20-like,Duplodnaviria,AVU83,bacteria,DNA,linear,-0.576271186440678,2.82757775369339e-06
Paramecium bursaria Chlorella virus NYs1,NA,FK949,NA,DNA,linear,-0.39333722969024,0.00221026977178902
Mycobacterium phage Troll4,Duplodnaviria,TROLL,bacteria,DNA,linear,0.453185271770894,0.000360826647597037
Allium cepa amalgavirus 2,Riboviria,C1179,land plants,RNA,linear,-0.2760374050263,0.0346567051442132
Pinus nigra virus 1,Riboviria,EXL67,land plants,DNA,circular,-0.578947368421053,3.05478614690267e-06
Porcine serum associated circular DNA virus 2,unclassified viruses,EXL57,vertebrates,DNA,circular,-0.528776486671224,3.69419778262522e-05
Escherichia phage MS2,Riboviria,MS2g,bacteria,RNA,linear,-0.222969023962595,0.0896538240560543
Viral hemorrhagic septicemia virus Fil3,Riboviria,NA,vertebrates,RNA,linear,0.0939801285797779,0.477928231837157
Vibrio virus 2019VC1,Duplodnaviria,KMB90,bacteria,DNA,linear,-0.409351256575102,0.00140230177601381
Halhan virus 2,unclassified viruses,EXJ10,invertebrates,RNA,linear,-0.498012857977791,7.46898607891894e-05
Duck coronavirus,Riboviria,HO267,human:vertebrates,RNA,linear,-0.613676212741087,4.59556995791972e-07
Shahe isopoda virus 2,Riboviria,BWT97,invertebrates,RNA,linear,0.214436002337814,0.102875298974904
Propionibacterium phage PHL112N00,Duplodnaviria,P752,bacteria,DNA,linear,0.0827001753360608,0.532493827835519
Salmonella phage 1-19,Duplodnaviria,HWC75,bacteria,DNA,linear,-0.505844535359439,5.55327342551751e-05
Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006],Tolecusatellitidae,OkELCVb,land plants,DNA,circular,-0.185017421602788,0.245905868199378
Bat mastadenovirus WIV13,Varidnaviria,BHR84,vertebrates,DNA,linear,-0.577673874926943,2.64906946429006e-06
Sanxia water strider virus 4,Riboviria,BI072,invertebrates,RNA,linear,-0.476504967855056,0.000163060572362547
Equus caballus papillomavirus 8,Monodnaviria,BMR76,vertebrates,DNA,circular,-0.190181180596143,0.148796827104705
Microbacterium phage Dismas,Duplodnaviria,FDJ24,bacteria,DNA,linear,0.498784951859485,8.40206781442743e-05
Citrus psorosis virus,Riboviria,CPsVsRNA,land plants,DNA,linear,-0.467445938047925,0.000223396825060424
Honeysuckle yellow vein beta-[Japan:Fukui:2001],Tolecusatellitidae,HYVBV2001,land plants,DNA,circular,-0.383794466403162,0.00966172017309565
Beet soil-borne mosaic virus,Riboviria,D1Y43,land plants,RNA,linear,-0.526300409117475,2.48068784796764e-05
Brugmansia mosaic virus,Riboviria,NA,land plants,RNA,linear,-0.5,6.93224333877161e-05
Carrot Ch virus 2,Riboviria,PL74,land plants,RNA,linear,-0.483985973115137,0.000124954218183013
Escherichia phage ID21,Monodnaviria,CIV21,bacteria,DNA,circular,-0.354938632378726,0.00606161893861541
Leuconostoc phage phiLN12,Duplodnaviria,HL56,bacteria,DNA,linear,-0.493220338983051,8.92534660206904e-05
Saguaro cactus virus,Riboviria,SgCVgp,land plants,RNA,linear,-0.309877264757452,0.0172679619921345
Bastrovirus 7,Riboviria,CK923,human,RNA,linear,0.238807714786675,0.0686936508132787
Cassia yellow blotch virus,NA,CYBV,NA,RNA,linear,-0.414845119812975,0.00119380113815557
Propionibacterium phage PHL179M00,Duplodnaviria,ACQ64,bacteria,DNA,linear,0.0419637638807715,0.751756865759518
Escherichia phage vB EcoP K,NA,HOR60,NA,NA,NA,-0.466919929865576,0.000227461715385233
Gordonia Phage Zitch,Duplodnaviria,J1774,bacteria,DNA,linear,0.486031560490941,0.000116067705084653
Bombali ebolavirus,Riboviria,D3P43,vertebrates,RNA,linear,-0.436995908825249,0.000607661417496169
Wenzhou picorna-like virus 18,Riboviria,BWS92,invertebrates,RNA,linear,-0.203448275862069,0.122081154978657
Bovine faeces associated smacovirus 3,NA,A8B47,NA,DNA,circular,-0.00578609000584454,0.965373425454297
Newbury agent 1,Riboviria,NAV1,vertebrates,RNA,linear,0.127703097603741,0.334182990623129
Sewage-associated circular DNA molecule-3,NA,SP84,NA,DNA,circular,-0.0668778280542986,0.640092949036076
Mycobacterium phage NoodleTree,Duplodnaviria,KHO62,bacteria,DNA,linear,0.479777907656341,0.000145237048973413
Sesbania mosaic virus,NA,SeMVgp,NA,RNA,linear,-0.414143775569842,0.00121875929069037
Mycobacterium phage Koko,Duplodnaviria,KIP56,bacteria,DNA,linear,0.50052600818235,6.79625855877869e-05
Pseudomonas phage Littlefix,Duplodnaviria,HWB52,bacteria,DNA,linear,-0.20958503798948,0.111041961603852
Cyclovirus PKbeef23/PAK/2009,Monodnaviria,D1Q28,vertebrates,DNA,circular,-0.485330216247808,0.000119046706897413
Cucurbit yellow mosaic alphasatellite,Alphasatellitidae,A6I64,land plants,DNA,circular,-0.401227352425482,0.00177101290390091
Staphylococcus phage tp310-2,Duplodnaviria,SPTP3102,bacteria,DNA,linear,-0.581472822910579,2.21761995652867e-06
Bubaline alphaherpesvirus 1,Duplodnaviria,FK804,vertebrates,DNA,linear,0.491583869082408,9.47984811856462e-05
Escherichia phage tunus,Duplodnaviria,H1N80,bacteria,DNA,linear,-0.397369959088253,0.00197486442347568
Abalone herpesvirus Victoria/AUS/2009,Duplodnaviria,AbHV,invertebrates,DNA,linear,-0.143483343074226,0.277493174853797
Silicibacter phage DSS3phi2,Duplodnaviria,DSS3P2,bacteria,DNA,linear,-0.148626534190532,0.260493631217805
Lymantria dispar multiple nucleopolyhedrovirus,Naldaviricetes,LdnVgp,invertebrates,DNA,circular,0.322735242548218,0.0129936494574097
Wuhan pillworm virus 1,Riboviria,BVF70,invertebrates,RNA,linear,-0.426592635885447,0.000838896361458676
Mycobacterium phage Kumao,Duplodnaviria,J4U01,bacteria,DNA,linear,0.439158386908241,0.000567578433095973
Bovine orthopneumovirus,Riboviria,BovRSVgp,vertebrates,RNA,linear,-0.480070134424313,0.000143736173755359
Camponotus yamaokai virus,Riboviria,ACA14,invertebrates,RNA,linear,-0.408766803039158,0.00142631069503206
Human papillomavirus type 60,Monodnaviria,NA,human,DNA,linear,-0.527644652250146,2.34886822338052e-05
Fusarium graminearum dsRNA mycovirus-3,Riboviria,FGMV,fungi,RNA,linear,-0.264465225014611,0.0432553944407955
Rhizoctonia solani dsRNA virus 2,Riboviria,CJ94,fungi,RNA,linear,-0.0728813559322034,0.582381637496381
Calanoida sp. copepod associated circular virus,Monodnaviria,AMQ92,invertebrates,DNA,circular,-0.332320280537697,0.0104346698321759
Myotis polyomavirus VM-2008,NA,MyPyV,NA,DNA,circular,-0.476575717493617,0.000185828927006047
Mycobacterium phage KBG,NA,KBG,NA,DNA,linear,0.4885447106955,0.000105947930508291
Escherichia phage If1,Monodnaviria,If1p,bacteria,DNA,circular,-0.460257159555815,0.000285165588610004
Stenotrophomonas phage IME-SM1,Duplodnaviria,KMC40,bacteria,DNA,circular,0.306487434248977,0.0185781494088607
Botrytis virus F,Riboviria,BvFgp,fungi,RNA,linear,-0.202863822326125,0.123174840413497
Lettuce infectious yellows virus,Riboviria,LIYV,land plants,RNA,linear,-0.526592635885447,2.45145899685062e-05
Orf virus,Varidnaviria,ORFVgORF,human:vertebrates,DNA,linear,0.411922852133256,0.00130093248255228
Arthrobacter phage Jasmine,Duplodnaviria,FDG92,bacteria,DNA,linear,-0.32969023962595,0.0110889207378398
Faba bean necrotic yellows virus associated alphasatellite 1,Alphasatellitidae,KM645,land plants,DNA,circular,-0.502164502164502,0.00011593475204326
Wenzhou picorna-like virus 43,Riboviria,BWS68,invertebrates,RNA,linear,-0.419988310929281,0.00102442794712792
Burkholderia phage BcepIL02,Duplodnaviria,BcepIL02,bacteria,DNA,linear,0.484862653419053,0.000121071667238677
Changjiang tombus-like virus 9,Riboviria,BWV69,invertebrates,RNA,linear,0.113091759205143,0.392754505453691
Lactococcus phage bIL310,Duplodnaviria,bIL310p,bacteria,DNA,linear,-0.530216247808299,2.11467529402185e-05
University of Giessen virus,Riboviria,D1U08,vertebrates,RNA,linear,-0.412273524254822,0.00128763416301828
Beihai weivirus-like virus 5,Riboviria,BWV67,invertebrates,RNA,linear,0.346966554316827,0.00848891419219671
Solanum mosaic Bolivia virus,Monodnaviria,GV75,land plants,DNA,circular,-0.42489772063121,0.000883352047549113
Choristoneura occidentalis cypovirus 16,Riboviria,D1R91,invertebrates,RNA,linear,-0.45885447106955,0.000298904409080171
Shuangao sobemo-like virus 2,Riboviria,BWT64,invertebrates,RNA,linear,-0.0137931034482759,0.91733264267555
Bat associated cyclovirus 6,Monodnaviria,D1Q19,vertebrates,DNA,circular,-0.376144907723855,0.00451111352988161
Hubei rhabdo-like virus 6,Riboviria,KM456,invertebrates,RNA,linear,-0.430508474576271,0.000743842632945343
Circovirus-like genome DCCV-9,NA,BBV87,NA,DNA,circular,-0.328186040788705,0.012230666743955
Mulard duck circovirus,Monodnaviria,MuDCVgp,vertebrates,DNA,circular,-0.0434248977206312,0.743400899932077
Broad bean stain virus,NA,FK964,NA,RNA,linear,-0.54593804792519,1.09431747173006e-05
Merino Walk mammarenavirus,Riboviria,CO50,vertebrates,RNA,linear,-0.443366452367037,0.0004963984382651
Bozo virus,Riboviria,FLB22,invertebrates,RNA,linear,-0.449152542372881,0.000411779306480456
Quhwahvirus ouhwah,Duplodnaviria,HOT47,bacteria,NA,NA,0.47669876034329,0.000185038810872925
Lactococcus phage Q33,Duplodnaviria,H1N73,bacteria,DNA,linear,-0.544944476914085,1.14181332388048e-05
Gokushovirinae Fen672 31,NA,AFL78,NA,NA,NA,-0.159146697837522,0.227958803855789
Human alphaherpesvirus 1,Duplodnaviria,HHV1gp00p,human:vertebrates,DNA,linear,0.47229690239626,0.000188929491525319
Erigeron breviscapus amalgavirus 2,NA,EXJ46,NA,RNA,linear,-0.265166569257744,0.0426882564370632
Acholeplasma phage MV-L51,Monodnaviria,L1,bacteria,DNA,circular,-0.46082623273555,0.000316745498754451
Flavobacterium phage FpV4,Duplodnaviria,FDG89,bacteria,DNA,circular,-0.50812390414962,5.08800064270917e-05
Bacillus phage Juan,Duplodnaviria,H3012,bacteria,DNA,linear,-0.54886031560491,9.65119062919432e-06
Sewage-associated circular DNA virus-27,NA,TP14,NA,DNA,circular,-0.362361192285213,0.00503124692867001
Epichloe festucae virus 1,Riboviria,D1T47,fungi,RNA,linear,0.147691408533022,0.263530715234115
Bos taurus papillomavirus 17,Monodnaviria,BGI60,vertebrates,DNA,circular,-0.507597895967271,5.19204739215964e-05
Staphylococcus phage S25-3,Duplodnaviria,X600,bacteria,DNA,circular,-0.524430157802455,2.67556839514342e-05
Sophora yellow stunt virus,Monodnaviria,KM764,land plants,DNA,circular,-0.489495216709219,0.000117823745162625
Propionibacterium phage P105,Duplodnaviria,D290,bacteria,DNA,linear,0.0442431326709527,0.738734397295017
Klebsiella phage 13,Duplodnaviria,H1O10,bacteria,DNA,linear,-0.0897136177673875,0.498207713627307
Magnaporthe oryzae RNA virus,unclassified viruses,SP85,fungi,RNA,linear,0.0127995324371712,0.923281372504745
Burkholderia phage vB BmuP KL4,NA,HOT12,NA,NA,NA,0.449970777323203,0.000400938941930178
Montana myotis leukoencephalitis virus,NA,MMLVgp1,NA,RNA,linear,-0.427703097603741,0.000810880423500126
Mycobacterium phage Ramsey,Duplodnaviria,RAMSEY,bacteria,DNA,linear,0.404208065458796,0.00162666766104298
Cotton leaf curl Burewala virus,Monodnaviria,CLCBuV,land plants,DNA,circular,-0.389246054938632,0.00247448420682252
Citrobacter phage Sazh,Duplodnaviria,HOU20,bacteria,DNA,linear,-0.442022209234366,0.000518198906667294
Clerodendrum chlorotic spot virus,Riboviria,FLB20,land plants,RNA,linear,-0.0473991817650497,0.72082459993113
Cellulophaga phage phi48:2,unclassified viruses,Phi48,bacteria,DNA,circular,-0.580362361192285,2.33631254290613e-06
Pseudomonas phage KPP12,Duplodnaviria,G182,bacteria,DNA,circular,0.226884862653419,0.0840535111815635
Brome mosaic virus,Riboviria,BMV,land plants,RNA,linear,-0.491992986557569,9.33831935570239e-05
Mycobacterium phage Cambiare,Duplodnaviria,AVT48,bacteria,DNA,linear,0.505610753945061,5.60315724804429e-05
Iguanid herpesvirus 2,NA,FK813,NA,DNA,linear,-0.42027417027417,0.00153361775972585
Pseudoalteromonas phage BS5,Duplodnaviria,BOX08,bacteria,DNA,linear,-0.557510227936879,6.61466648254475e-06
Grapevine Cabernet Sauvignon reovirus,Riboviria,AMQ95,land plants,RNA,linear,-0.469959088252484,0.000204879510198904
Arthrobacter phage Jawnski,Duplodnaviria,FDH48,bacteria,DNA,linear,0.424663939216832,0.000889648577947699
Mink coronavirus strain WD1127,Riboviria,CN73,vertebrates,RNA,linear,-0.581005260081824,2.2668823737724e-06
Human DNA virus,unclassified viruses,EXH56,human,DNA,circular,-0.144702665755297,0.286446506066883
Wenzhou Shrimp Virus 1,Riboviria,BJD34,invertebrates,RNA,linear,-0.115488018702513,0.382752275470338
Bacillus phage Gxv1,Duplodnaviria,H3023,bacteria,DNA,linear,-0.545236703682057,1.12764746175389e-05
Cotton yellow mosaic virus,Monodnaviria,BAR03,land plants,DNA,circular,-0.298655756867329,0.0219343868196767
Escherichia phage slur04,Duplodnaviria,FDJ55,bacteria,DNA,linear,-0.548042080654588,9.99775367160299e-06
Langat virus,Riboviria,LGTVgp1,human:invertebrates:vertebrates,RNA,linear,-0.166803039158387,0.206140015642006
Betapolyomavirus arplanirostris,Monodnaviria,D1R77,vertebrates,NA,NA,-0.561976911976912,1.15841128149927e-05
Petsuvirus pEtSU,NA,HOV39,NA,NA,NA,-0.401285797779077,0.00176807539746318
Pseudomonas phage vB PaeP PPA-ABTNL,NA,ACQ50,NA,NA,NA,0.427469316189363,0.000816707001614895
Yellowstone Lake virophage 5,NA,ASQ69,NA,DNA,circular,-0.0816481589713618,0.537735839382897
